order_id,order_date,actual_returned,return_probability,risk_level,recommended_action,intervention_threshold,monitor_threshold,expected_avoided_return_cost,intervention_cost,net_expected_value
O030001,2025-10-01 00:09:49.694742,0,0.2193817329241169,HIGH,INTERVENE,0.21,0.1,105.3032318035761,100.0,5.303231803576097
O030002,2025-10-01 00:22:55.954398,1,0.2589583245422159,HIGH,INTERVENE,0.21,0.1,124.29999578026363,100.0,24.29999578026363
O030003,2025-10-01 00:36:02.214055,0,0.078258997247168,LOW,NO_ACTION,0.21,0.1,37.56431867864064,100.0,-62.43568132135936
O030004,2025-10-01 00:49:08.473711,0,0.0931844264055977,LOW,NO_ACTION,0.21,0.1,44.728524674686895,100.0,-55.271475325313105
O030005,2025-10-01 01:02:14.733368,0,0.2162327667595788,HIGH,INTERVENE,0.21,0.1,103.79172804459782,100.0,3.791728044597818
O030006,2025-10-01 01:15:20.993024,0,0.1128209368827671,MEDIUM,MONITOR,0.21,0.1,54.15404970372821,100.0,-45.84595029627179
O030007,2025-10-01 01:28:27.252681,0,0.3578867033499529,HIGH,INTERVENE,0.21,0.1,171.78561760797737,100.0,71.78561760797737
O030008,2025-10-01 01:41:33.512337,0,0.1510873571442403,MEDIUM,MONITOR,0.21,0.1,72.52193142923534,100.0,-27.478068570764663
O030009,2025-10-01 01:54:39.771994,0,0.0759605474140268,LOW,NO_ACTION,0.21,0.1,36.461062758732865,100.0,-63.538937241267135
O030010,2025-10-01 02:07:46.031650,0,0.3463982021674629,HIGH,INTERVENE,0.21,0.1,166.2711370403822,100.0,66.2711370403822
O030011,2025-10-01 02:20:52.291307,0,0.2321277639992642,HIGH,INTERVENE,0.21,0.1,111.4213267196468,100.0,11.4213267196468
O030012,2025-10-01 02:33:58.550963,0,0.1308741329963808,MEDIUM,MONITOR,0.21,0.1,62.81958383826277,100.0,-37.18041616173723
O030013,2025-10-01 02:47:04.810620,1,0.3926805215643509,HIGH,INTERVENE,0.21,0.1,188.48665035088843,100.0,88.48665035088843
O030014,2025-10-01 03:00:11.070276,0,0.2223596899187836,HIGH,INTERVENE,0.21,0.1,106.73265116101614,100.0,6.732651161016136
O030015,2025-10-01 03:13:17.329933,0,0.1554349805509226,MEDIUM,MONITOR,0.21,0.1,74.60879066444285,100.0,-25.39120933555715
O030016,2025-10-01 03:26:23.589589,0,0.1642312576819747,MEDIUM,MONITOR,0.21,0.1,78.83100368734785,100.0,-21.168996312652155
O030017,2025-10-01 03:39:29.849246,0,0.2197021764961903,HIGH,INTERVENE,0.21,0.1,105.45704471817135,100.0,5.457044718171346
O030018,2025-10-01 03:52:36.108902,0,0.2242304468472301,HIGH,INTERVENE,0.21,0.1,107.63061448667044,100.0,7.630614486670439
O030019,2025-10-01 04:05:42.368559,1,0.1660330114810543,MEDIUM,MONITOR,0.21,0.1,79.69584551090605,100.0,-20.304154489093946
O030020,2025-10-01 04:18:48.628215,0,0.2186428449659997,HIGH,INTERVENE,0.21,0.1,104.94856558367984,100.0,4.948565583679837
O030021,2025-10-01 04:31:54.887872,0,0.2372339275949868,HIGH,INTERVENE,0.21,0.1,113.87228524559364,100.0,13.872285245593645
O030022,2025-10-01 04:45:01.147528,0,0.1766146778604831,MEDIUM,MONITOR,0.21,0.1,84.77504537303189,100.0,-15.224954626968113
O030023,2025-10-01 04:58:07.407185,1,0.2544130155459875,HIGH,INTERVENE,0.21,0.1,122.11824746207401,100.0,22.11824746207401
O030024,2025-10-01 05:11:13.666841,1,0.379108686995853,HIGH,INTERVENE,0.21,0.1,181.97216975800941,100.0,81.97216975800941
O030025,2025-10-01 05:24:19.926498,0,0.2548595132971665,HIGH,INTERVENE,0.21,0.1,122.33256638263992,100.0,22.332566382639925
O030026,2025-10-01 05:37:26.186154,1,0.3976592761138364,HIGH,INTERVENE,0.21,0.1,190.87645253464146,100.0,90.87645253464146
O030027,2025-10-01 05:50:32.445811,0,0.2695824832003525,HIGH,INTERVENE,0.21,0.1,129.3995919361692,100.0,29.3995919361692
O030028,2025-10-01 06:03:38.705467,0,0.1250601998209161,MEDIUM,MONITOR,0.21,0.1,60.02889591403972,100.0,-39.97110408596028
O030029,2025-10-01 06:16:44.965124,0,0.1552031469519023,MEDIUM,MONITOR,0.21,0.1,74.4975105369131,100.0,-25.502489463086903
O030030,2025-10-01 06:29:51.224780,0,0.3275982916002342,HIGH,INTERVENE,0.21,0.1,157.2471799681124,100.0,57.24717996811239
O030031,2025-10-01 06:42:57.484437,0,0.1007807438553261,MEDIUM,MONITOR,0.21,0.1,48.374757050556525,100.0,-51.625242949443475
O030032,2025-10-01 06:56:03.744093,0,0.3265084580402377,HIGH,INTERVENE,0.21,0.1,156.7240598593141,100.0,56.72405985931411
O030033,2025-10-01 07:09:10.003750,0,0.096293240660514,LOW,NO_ACTION,0.21,0.1,46.22075551704672,100.0,-53.77924448295328
O030034,2025-10-01 07:22:16.263406,0,0.1107613919943957,MEDIUM,MONITOR,0.21,0.1,53.16546815730994,100.0,-46.83453184269006
O030035,2025-10-01 07:35:22.523063,0,0.1112910292606438,MEDIUM,MONITOR,0.21,0.1,53.419694045109026,100.0,-46.580305954890974
O030036,2025-10-01 07:48:28.782719,0,0.0791239352668456,LOW,NO_ACTION,0.21,0.1,37.979488928085885,100.0,-62.020511071914115
O030037,2025-10-01 08:01:35.042376,0,0.1077194971803889,MEDIUM,MONITOR,0.21,0.1,51.70535864658666,100.0,-48.29464135341334
O030038,2025-10-01 08:14:41.302032,0,0.1395038725945586,MEDIUM,MONITOR,0.21,0.1,66.96185884538812,100.0,-33.03814115461188
O030039,2025-10-01 08:27:47.561689,0,0.1838542943537113,MEDIUM,MONITOR,0.21,0.1,88.25006128978143,100.0,-11.749938710218572
O030040,2025-10-01 08:40:53.821345,0,0.1019036158650627,MEDIUM,MONITOR,0.21,0.1,48.913735615230095,100.0,-51.086264384769905
O030041,2025-10-01 08:54:00.081002,1,0.2817105653361386,HIGH,INTERVENE,0.21,0.1,135.2210713613465,100.0,35.2210713613465
O030042,2025-10-01 09:07:06.340658,0,0.1105997764939509,MEDIUM,MONITOR,0.21,0.1,53.08789271709643,100.0,-46.91210728290357
O030043,2025-10-01 09:20:12.600315,0,0.1204747539545003,MEDIUM,MONITOR,0.21,0.1,57.827881898160136,100.0,-42.172118101839864
O030044,2025-10-01 09:33:18.859971,0,0.1772903077750693,MEDIUM,MONITOR,0.21,0.1,85.09934773203327,100.0,-14.900652267966734
O030045,2025-10-01 09:46:25.119627,1,0.2969488703695035,HIGH,INTERVENE,0.21,0.1,142.53545777736167,100.0,42.53545777736167
