feature,mean_abs_shap_log_odds,mean_shap_log_odds,rank
customer_return_rate,0.25564046121854617,0.02648441687589511,1
product_historical_return_rate,0.1615149422508039,-0.03075170362067267,2
category_Fashion,0.1491581198673219,-0.024954752367860246,3
product_rating,0.12031480449611456,0.0031191509065667607,4
category_Footwear,0.10973380672545324,-0.013558927972041227,5
discount_bucket_Low,0.10336739874623449,-0.0007058686065708439,6
price_bucket_Mid,0.0999568840607436,-0.002426923374734742,7
discount_bucket_Medium,0.09654247510143076,-0.007856709885479684,8
payment_type_UPI,0.09005879837947105,0.004057050725006114,9
discount_pct,0.08429399167707509,-0.00592756262773588,10
delivery_distance_km,0.07613623563115182,0.0017067837989660159,11
category_Books,0.07215200677181563,-0.0019832877067568187,12
category_Beauty,0.06961016393036906,-0.019638723463573378,13
price_bucket_Budget,0.06784232006763628,0.003095561236888002,14
category_Home & Kitchen,0.06688284861172064,-0.011912376836160733,15
category_Electronics,0.06501690988074875,0.0006800931995894654,16
customer_previous_returns,0.0646328681419114,0.0051941140825879275,17
price_bucket_Premium,0.0642990530085378,7.165996456908626e-05,18
discount_bucket_High,0.06044873990586962,0.003301148223912298,19
payment_type_Credit Card,0.05951064869255514,-0.005037841585486459,20
payment_type_Debit Card,0.05068218534026635,0.005123654799065545,21
category_Sports,0.05028776558461192,-0.0020762908994472725,22
quantity,0.04931821967431567,0.00039668255408587184,23
payment_type_Wallet,0.0365818057038439,-0.0003217963204067919,24
customer_previous_orders,0.03272675359287849,0.003605001479622209,25
order_month,0.02509010507846028,-0.02509010507846028,26
expected_delivery_days,0.021311942049901274,0.0006652590123789894,27
price_bucket_Luxury,0.020239577956790343,-0.00021104877952857665,28
payment_type_COD,0.018412256323454692,0.00142404295998208,29
discount_bucket_Very High,0.012838099511690453,0.0037558269848029222,30
customer_age,0.008990728901261381,0.0023064744107931003,31
product_price,0.007686260779018576,0.0003468690279762023,32
order_day_of_week,0.007448603282327068,-1.932471304149426e-05,33
