order_id,predicted_probability,decision_threshold,predicted_return,feature,source_feature,feature_value,shap_value_log_odds,direction,absolute_shap
O031068,0.6880237571029495,0.21,1,customer_return_rate,customer,,0.8774959027328999,increases_return_risk,0.8774959027328999
O031068,0.6880237571029495,0.21,1,product_historical_return_rate,product,,0.4061899177421829,increases_return_risk,0.4061899177421829
O031068,0.6880237571029495,0.21,1,customer_previous_returns,customer,,0.2847718268165138,increases_return_risk,0.2847718268165138
O031068,0.6880237571029495,0.21,1,category_Fashion,category,Fashion,0.23885262980665511,increases_return_risk,0.23885262980665511
O031068,0.6880237571029495,0.21,1,product_rating,product,,0.1454134591115745,increases_return_risk,0.1454134591115745
O031068,0.6880237571029495,0.21,1,delivery_distance_km,delivery,,0.13375123508719686,increases_return_risk,0.13375123508719686
O031068,0.6880237571029495,0.21,1,payment_type_UPI,payment,,-0.1197795928335156,decreases_return_risk,0.1197795928335156
O031068,0.6880237571029495,0.21,1,discount_bucket_Medium,discount,,-0.10863598853996799,decreases_return_risk,0.10863598853996799
O031068,0.6880237571029495,0.21,1,price_bucket_Premium,price,,-0.09459115323117796,decreases_return_risk,0.09459115323117796
O031068,0.6880237571029495,0.21,1,price_bucket_Mid,price,,0.08898719040694156,increases_return_risk,0.08898719040694156
O031068,0.6880237571029495,0.21,1,category_Footwear,category,Fashion,-0.07013238606228439,decreases_return_risk,0.07013238606228439
O031068,0.6880237571029495,0.21,1,discount_bucket_Low,discount,,0.06776338623080017,increases_return_risk,0.06776338623080017
O031068,0.6880237571029495,0.21,1,discount_bucket_High,discount,,0.042443334307443285,increases_return_risk,0.042443334307443285
O031068,0.6880237571029495,0.21,1,price_bucket_Budget,price,,0.04209963282167722,increases_return_risk,0.04209963282167722
O031068,0.6880237571029495,0.21,1,category_Books,category,Fashion,0.03966575413513599,increases_return_risk,0.03966575413513599
