order_id,order_date,customer_id,product_id,category,product_price,product_rating,product_historical_return_rate,customer_age,customer_previous_orders,customer_previous_returns,customer_return_rate,quantity,discount_pct,payment_type,delivery_distance_km,expected_delivery_days,discount_bucket,price_bucket,order_month,order_day_of_week,returned
O000001,2025-01-01 00:00:00.000000,C06310,P02367,Books,464.75,3.41,0.0426,26,3,1,0.3333,1,9.3,UPI,13.2,3,Low,Budget,1,2,1
O000002,2025-01-01 00:13:06.259656,C03958,P02113,Fashion,533.3,3.64,0.1623,52,9,0,0.0,1,24.8,UPI,13.2,3,Medium,Mid,1,2,0
O000003,2025-01-01 00:26:12.519312,C07049,P02351,Home & Kitchen,2346.87,3.52,0.0716,55,4,2,0.5,1,13.6,COD,15.5,3,Medium,Premium,1,2,0
O000004,2025-01-01 00:39:18.778969,C05519,P01205,Sports,5070.84,3.68,0.1626,44,5,1,0.2,1,6.6,UPI,22.5,4,Low,Luxury,1,2,0
O000005,2025-01-01 00:52:25.038625,C01877,P02232,Fashion,2759.51,4.24,0.2962,28,5,0,0.0,1,36.7,UPI,2.6,2,High,Premium,1,2,1
O000006,2025-01-01 01:05:31.298282,C04987,P00128,Books,1380.56,4.28,0.02,63,5,0,0.0,1,34.6,Credit Card,17.1,4,High,Mid,1,2,0
O000007,2025-01-01 01:18:37.557938,C06682,P01768,Home & Kitchen,860.25,3.72,0.1192,33,8,1,0.125,4,19.5,Credit Card,11.9,2,Medium,Mid,1,2,0
O000008,2025-01-01 01:31:43.817595,C02800,P01546,Home & Kitchen,3238.3,4.32,0.1517,36,7,0,0.0,1,28.9,UPI,8.7,3,High,Premium,1,2,0
O000009,2025-01-01 01:44:50.077251,C07142,P01605,Electronics,830.32,3.76,0.0737,53,12,3,0.25,1,16.2,UPI,8.1,3,Medium,Mid,1,2,0
O000010,2025-01-01 01:57:56.336908,C02505,P00337,Home & Kitchen,658.27,3.85,0.0677,20,5,3,0.6,4,2.3,UPI,18.6,4,Low,Mid,1,2,0
O000011,2025-01-01 02:11:02.596564,C02185,P01164,Books,216.64,4.01,0.02,47,11,3,0.2727,1,9.3,Debit Card,16.5,3,Low,Budget,1,2,0
O000012,2025-01-01 02:24:08.856221,C01288,P01363,Fashion,880.8,3.72,0.2239,29,9,0,0.0,1,20.4,Debit Card,4.4,2,Medium,Mid,1,2,0
O000013,2025-01-01 02:37:15.115877,C04025,P01616,Footwear,360.98,4.46,0.2707,39,10,2,0.2,1,24.6,Debit Card,23.0,4,Medium,Budget,1,2,0
O000014,2025-01-01 02:50:21.375534,C01433,P02176,Books,1596.98,3.88,0.0675,26,6,2,0.3333,2,33.4,UPI,11.0,4,High,Premium,1,2,1
O000015,2025-01-01 03:03:27.635190,C01846,P01521,Books,1902.02,3.5,0.02,46,4,1,0.25,2,8.8,UPI,19.9,4,Low,Premium,1,2,0
O000016,2025-01-01 03:16:33.894847,C01852,P01226,Books,755.47,3.78,0.0443,29,8,2,0.25,1,24.6,Credit Card,21.4,4,Medium,Mid,1,2,0
