threshold,targeted_orders,target_rate,true_positives,false_positives,false_negatives,true_negatives,precision,recall,expected_prevented_returns,intervention_cost,avoided_return_cost,net_benefit,roi,f1
0.01,10000,1.0,2213,7787,0,0,0.2213,1.0,1327.8,1000000.0,1062240.0,62240.0,0.06224,0.36240072054368294
0.02,10000,1.0,2213,7787,0,0,0.2213,1.0,1327.8,1000000.0,1062240.0,62240.0,0.06224,0.36240072054368294
0.03,10000,1.0,2213,7787,0,0,0.2213,1.0,1327.8,1000000.0,1062240.0,62240.0,0.06224,0.36240072054368294
0.04,10000,1.0,2213,7787,0,0,0.2213,1.0,1327.8,1000000.0,1062240.0,62240.0,0.06224,0.36240072054368294
0.05,10000,1.0,2213,7787,0,0,0.2213,1.0,1327.8,1000000.0,1062240.0,62240.0,0.06224,0.36240072054368294
0.06,9996,0.9996,2213,7783,0,4,0.22138855542216887,1.0,1327.8,999600.0,1062240.0,62640.0,0.06266506602641056,0.3625194528626423
0.07,9988,0.9988,2212,7776,1,11,0.22146575891069284,0.9995481247175779,1327.2,998800.0,1061760.0,62960.0,0.06303564277132559,0.3625932300631096
0.08,9979,0.9979,2212,7767,1,20,0.22166549754484416,0.9995481247175779,1327.2,997900.0,1061760.0,63860.0,0.06399438821525202,0.36286089238845143
0.09,9967,0.9967,2210,7757,3,30,0.22173171465837263,0.9986443741527339,1326.0,996700.0,1060800.0,64100.0,0.06431223036018863,0.3628899835796387
0.1,9953,0.9953,2209,7744,4,43,0.22194313272380187,0.9981924988703118,1325.3999999999999,995300.0,1060320.0,65020.0,0.06532703707424897,0.3631431859279961
0.11,9932,0.9932,2209,7723,4,64,0.22241240434957713,0.9981924988703118,1325.3999999999999,993200.0,1060320.0,67120.0,0.0675795408779702,0.3637710992177851
0.12,9919,0.9919,2207,7712,6,75,0.222502268373828,0.9972887483054677,1324.2,991900.0,1059360.0,67460.0,0.06801088819437444,0.3638311902406858
0.13,9880,0.988,2204,7676,9,111,0.2230769230769231,0.9959331224582015,1322.3999999999999,988000.0,1057920.0,69920.0,0.07076923076923076,0.3645083932853717
0.14,9842,0.9842,2203,7639,10,148,0.22383661857346068,0.9954812471757795,1321.8,984200.0,1057440.0,73240.0,0.07441576915261126,0.36549149730402325
0.15,9805,0.9805,2202,7603,11,184,0.2245792962774095,0.9950293718933574,1321.2,980500.0,1056960.0,76460.0,0.07798062213156552,0.3664503245132301
0.16,9742,0.9742,2201,7541,12,246,0.22592896735783208,0.9945774966109354,1320.6,974200.0,1056480.0,82280.0,0.08445904331759392,0.3682141363446257
0.17,9642,0.9642,2187,7455,26,332,0.2268201617921593,0.9882512426570267,1312.2,964200.0,1049760.0,85560.0,0.08873677660236466,0.3689582454660481
0.18,9534,0.9534,2176,7358,37,429,0.22823578770715336,0.9832806145503841,1305.6,953400.0,1044479.9999999999,91079.99999999988,0.09553178099433594,0.3704775687409551
0.19,9438,0.9438,2171,7267,42,520,0.23002754820936638,0.9810212381382738,1302.6,943800.0,1042079.9999999999,98279.99999999988,0.10413223140495856,0.37267187365891336
0.2,9324,0.9324,2154,7170,59,617,0.231016731016731,0.973339358337099,1292.3999999999999,932400.0,1033919.9999999999,101519.99999999988,0.10888030888030875,0.37340729825777935
0.21,9184,0.9184,2141,7043,72,744,0.23312282229965156,0.9674649796656123,1284.6,918400.0,1027679.9999999999,109279.99999999988,0.1189895470383274,0.37571290690532594
0.22,9027,0.9027,2116,6911,97,876,0.2344078874487648,0.956168097605061,1269.6,902700.0,1015679.9999999999,112979.99999999988,0.12515785975407098,0.37651245551601425
0.23,8868,0.8868,2095,6773,118,1014,0.2362426702751466,0.9466787166741979,1257.0,886800.0,1005600.0,118800.0,0.13396481732070364,0.3781247179857413
0.24,8700,0.87,2076,6624,137,1163,0.2386206896551724,0.9380930863081789,1245.6,870000.0,996479.9999999999,126479.99999999988,0.14537931034482746,0.38046366718592506
0.25,8529,0.8529,2049,6480,164,1307,0.240239183960605,0.9258924536827835,1229.3999999999999,852900.0,983519.9999999999,130619.99999999988,0.15314808301090385,0.38149320424501953
0.26,8348,0.8348,2029,6319,184,1468,0.2430522280785817,0.9168549480343425,1217.3999999999999,834800.0,973919.9999999999,139119.99999999988,0.166650694777192,0.38424391629580534
0.27,8161,0.8161,2006,6155,207,1632,0.24580321039088346,0.9064618165386353,1203.6,816100.0,962879.9999999999,146779.99999999988,0.17985540987624052,0.3867360709465973
0.28,7943,0.7943,1982,5961,231,1826,0.24952788618909733,0.8956168097605061,1189.2,794300.0,951360.0,157060.0,0.19773385370766713,0.39031114612051987
0.29,7713,0.7713,1948,5765,265,2022,0.25256061195384416,0.8802530501581564,1168.8,771300.0,935040.0,163740.0,0.21229093737845198,0.39250453354825715
0.3,7514,0.7514,1909,5605,304,2182,0.2540590896992281,0.8626299141436964,1145.3999999999999,751400.0,916319.9999999999,164919.99999999988,0.21948363055629477,0.3925156780096638
0.31,7336,0.7336,1889,5447,324,2340,0.2574972737186478,0.8535924084952553,1133.3999999999999,733600.0,906719.9999999999,173119.99999999988,0.23598691384950912,0.3956435228819772
0.32,7145,0.7145,1858,5287,355,2500,0.2600419874037789,0.8395842747401717,1114.8,714500.0,891840.0,177340.0,0.24820153953813856,0.39709339602479166
0.33,6949,0.6949,1834,5115,379,2672,0.2639228665995107,0.8287392679620424,1100.3999999999999,694900.0,880319.9999999999,185419.99999999988,0.26682975967765127,0.40034926871862037
0.34,6740,0.674,1808,4932,405,2855,0.26824925816023737,0.8169905106190691,1084.7999999999997,674000.0,867839.9999999998,193839.99999999977,0.28759643916913913,0.4038869652630403
0.35,6540,0.654,1779,4761,434,3026,0.2720183486238532,0.8038861274288296,1067.3999999999999,654000.0,853919.9999999999,199919.99999999988,0.3056880733944952,0.40648920370158803
0.36,6342,0.6342,1754,4588,459,3199,0.27656890570797854,0.7925892453682784,1052.3999999999999,634200.0,841919.9999999999,207719.99999999988,0.3275307473982969,0.4100526008182349
0.37,6160,0.616,1721,4439,492,3348,0.2793831168831169,0.7776773610483506,1032.6,616000.0,826079.9999999999,210079.99999999988,0.34103896103896086,0.4110832437597038
0.38,5967,0.5967,1692,4275,521,3512,0.28355957767722473,0.7645729778581112,1015.1999999999999,596700.0,812160.0,215460.0,0.3610859728506787,0.41369193154034234
0.39,5771,0.5771,1670,4101,543,3686,0.289377924103275,0.7546317216448261,1002.0,577100.0,801600.0,224500.0,0.38901403569571996,0.41833667334669333
0.4,5576,0.5576,1627,3949,586,3838,0.2917862266857963,0.7352010845006778,976.2,557600.0,780960.0,223360.0,0.4005738880918221,0.4177686480934652
0.41,5386,0.5386,1590,3796,623,3991,0.2952098031934645,0.718481699051062,953.9999999999998,538600.0,763199.9999999998,224599.99999999977,0.41700705532862936,0.41847611527832607
0.42,5171,0.5171,1541,3630,672,4157,0.2980081222200735,0.6963398102123813,924.5999999999999,517100.0,739679.9999999999,222579.99999999988,0.4304389866563525,0.4173889490790899
0.43,5001,0.5001,1519,3482,694,4305,0.3037392521495701,0.6863985539990962,911.4,500100.0,729120.0,229020.0,0.4579484103179364,0.42112558913224285
0.44,4824,0.4824,1481,3343,732,4444,0.3070066334991708,0.6692272932670583,888.6,482400.0,710880.0,228480.0,0.4736318407960199,0.42091800483160435
0.45,4643,0.4643,1449,3194,764,4593,0.31208270514753395,0.6547672842295527,869.4,464300.0,695520.0,231220.0,0.49799698470816284,0.4226954492415403
0.46,4445,0.4445,1398,3047,815,4740,0.31451068616422945,0.631721644826028,838.8,444500.0,671040.0,226540.0,0.5096512935883014,0.4199459297086212
0.47,4260,0.426,1351,2909,862,4878,0.3171361502347418,0.6104835065521916,810.6,426000.0,648480.0,222480.0,0.5222535211267606,0.4174262320407848
0.48,4072,0.4072,1313,2759,900,5028,0.3224459724950884,0.5933122458201536,787.8,407200.0,630240.0,223040.0,0.5477406679764244,0.4178202068416865
0.49,3915,0.3915,1277,2638,936,5149,0.3261813537675607,0.5770447356529598,766.1999999999999,391500.0,612960.0,221460.0,0.5656704980842912,0.4167754569190601
0.5,3735,0.3735,1231,2504,982,5283,0.32958500669344043,0.5562584726615454,738.6,373500.0,590880.0,217380.0,0.582008032128514,0.413920645595158
0.51,3563,0.3563,1187,2376,1026,5411,0.3331462250912153,0.5363759602349751,712.1999999999999,356300.0,569760.0,213460.0,0.5991018804378333,0.41101108033240996
0.52,3393,0.3393,1143,2250,1070,5537,0.33687002652519893,0.5164934478084049,685.8,339300.0,548640.0,209340.0,0.6169761273209549,0.40777738137709596
0.53,3229,0.3229,1102,2127,1111,5660,0.3412821306906163,0.49796656122910077,661.1999999999999,322900.0,528960.0,206060.0,0.6381542273149582,0.4049981624402793
0.54,3079,0.3079,1063,2016,1150,5771,0.3452419616758688,0.48034342521464074,637.8,307900.0,510239.99999999994,202339.99999999994,0.65716141604417,0.4017384731670446
0.55,2911,0.2911,1013,1898,1200,5889,0.34799038131226384,0.4577496610935382,607.8,291100.0,486239.99999999994,195139.99999999994,0.6703538302988662,0.3953942232630757
0.56,2749,0.2749,973,1776,1240,6011,0.3539468897781011,0.4396746497966561,583.8,274900.0,467039.99999999994,192139.99999999994,0.6989450709348852,0.3921805723498589
0.57,2592,0.2592,937,1655,1276,6132,0.36149691358024694,0.42340713962946225,562.2,259200.0,449760.00000000006,190560.00000000006,0.7351851851851854,0.3900104058272633
0.58,2445,0.2445,889,1556,1324,6231,0.36359918200408997,0.4017171260732038,533.4,244500.0,426720.0,182220.0,0.7452760736196319,0.3817088879347359
0.59,2277,0.2277,842,1435,1371,6352,0.36978480456741325,0.3804789877993674,505.2,227700.0,404160.0,176460.0,0.7749670619235837,0.3750556792873051
0.6,2117,0.2117,791,1326,1422,6461,0.37364194615021257,0.35743334839584273,474.59999999999997,211700.0,379680.0,167980.0,0.7934813415210203,0.3653579676674365
0.61,1971,0.1971,742,1229,1471,6558,0.37645865043125315,0.3352914595571622,445.2,197100.0,356160.0,159060.0,0.8070015220700152,0.3546845124282983
0.62,1837,0.1837,694,1143,1519,6644,0.37778987479586285,0.3136014460009037,416.4,183700.0,333120.0,149420.0,0.8133913990201416,0.34271604938271605
0.63,1685,0.1685,648,1037,1565,6750,0.3845697329376855,0.2928151830094894,388.8,168500.0,311040.0,142540.0,0.8459347181008902,0.3324781939456132
0.64,1553,0.1553,609,944,1604,6843,0.3921442369607212,0.27519204699502936,365.4,155300.0,292320.0,137020.0,0.8822923374114617,0.32342007434944237
0.65,1412,0.1412,564,848,1649,6939,0.39943342776203966,0.25485765928603704,338.4,141200.0,270720.0,129520.0,0.9172804532577904,0.31117241379310345
0.66,1273,0.1273,516,757,1697,7030,0.4053417124901807,0.23316764572977858,309.59999999999997,127300.0,247679.99999999997,120379.99999999997,0.9456402199528671,0.29604130808950085
0.67,1159,0.1159,475,684,1738,7103,0.4098360655737705,0.21464075915047448,285.0,115900.0,228000.0,112100.0,0.9672131147540983,0.2817319098457889
0.68,1016,0.1016,424,592,1789,7195,0.41732283464566927,0.19159511974694984,254.39999999999998,101600.0,203519.99999999997,101919.99999999997,1.0031496062992122,0.26262000619386805
0.69,922,0.0922,393,529,1820,7258,0.4262472885032538,0.17758698599186626,235.79999999999998,92200.0,188640.0,96440.0,1.0459869848156182,0.2507177033492823
0.7,803,0.0803,346,457,1867,7330,0.43088418430884184,0.15634884771802982,207.6,80300.0,166080.0,85780.0,1.0682440846824408,0.22944297082228116
0.71,688,0.0688,291,397,1922,7390,0.42296511627906974,0.13149570718481698,174.6,68800.0,139680.0,70880.0,1.0302325581395348,0.20062047569803518
0.72,587,0.0587,258,329,1955,7458,0.4395229982964225,0.11658382286488929,154.79999999999998,58700.0,123839.99999999999,65139.999999999985,1.1097103918228277,0.18428571428571427
0.73,494,0.0494,215,279,1998,7508,0.4352226720647773,0.09715318572074108,129.0,49400.0,103200.0,53800.0,1.0890688259109311,0.1588474325821943
0.74,406,0.0406,189,217,2024,7570,0.46551724137931033,0.08540442837776774,113.39999999999999,40600.0,90720.0,50120.0,1.2344827586206897,0.1443298969072165
0.75,336,0.0336,154,182,2059,7605,0.4583333333333333,0.06958879349299593,92.39999999999999,33600.0,73920.0,40320.0,1.2,0.12083169870537466
0.76,276,0.0276,134,142,2079,7645,0.4855072463768116,0.0605512878445549,80.39999999999999,27600.0,64319.99999999999,36719.99999999999,1.3304347826086953,0.10767376456408195
0.77,222,0.0222,112,110,2101,7677,0.5045045045045045,0.05061003163126977,67.19999999999999,22200.0,53759.99999999999,31559.999999999993,1.4216216216216213,0.09199178644763861
0.78,178,0.0178,90,88,2123,7699,0.5056179775280899,0.04066877541798464,54.0,17800.0,43200.0,25400.0,1.4269662921348314,0.0752823086574655
