order_id,customer_id,product_id,order_date,product_price,product_rating,product_historical_return_rate,customer_age,customer_previous_orders,customer_previous_returns,customer_return_rate,quantity,discount_pct,delivery_distance_km,expected_delivery_days,order_month,order_day_of_week,category,payment_type,discount_bucket,price_bucket,returned
O000001,C06310,P02367,2025-01-01 00:00:00.000000,464.75,3.41,0.0426,26,3,1,0.3333333333333333,1,9.3,13.2,3,1,2,Books,UPI,Low,Budget,1
O000002,C03958,P02113,2025-01-01 00:13:06.259656,533.3,3.64,0.1623,52,9,0,0.0,1,24.8,13.2,3,1,2,Fashion,UPI,Medium,Mid,0
O000003,C07049,P02351,2025-01-01 00:26:12.519312,2346.87,3.52,0.0716,55,4,2,0.5,1,13.6,15.5,3,1,2,Home & Kitchen,COD,Medium,Premium,0
O000004,C05519,P01205,2025-01-01 00:39:18.778969,5070.84,3.68,0.1626,44,5,1,0.2,1,6.6,22.5,4,1,2,Sports,UPI,Low,Luxury,0
O000005,C01877,P02232,2025-01-01 00:52:25.038625,2759.51,4.24,0.2962,28,5,0,0.0,1,36.7,2.6,2,1,2,Fashion,UPI,High,Premium,1
O000006,C04987,P00128,2025-01-01 01:05:31.298282,1380.56,4.28,0.02,63,5,0,0.0,1,34.6,17.1,4,1,2,Books,Credit Card,High,Mid,0
O000007,C06682,P01768,2025-01-01 01:18:37.557938,860.25,3.72,0.1192,33,8,1,0.125,4,19.5,11.9,2,1,2,Home & Kitchen,Credit Card,Medium,Mid,0
O000008,C02800,P01546,2025-01-01 01:31:43.817595,3238.3,4.32,0.1517,36,7,0,0.0,1,28.9,8.7,3,1,2,Home & Kitchen,UPI,High,Premium,0
O000009,C07142,P01605,2025-01-01 01:44:50.077251,830.32,3.76,0.0737,53,12,3,0.25,1,16.2,8.1,3,1,2,Electronics,UPI,Medium,Mid,0
O000010,C02505,P00337,2025-01-01 01:57:56.336908,658.27,3.85,0.0677,20,5,3,0.6,4,2.3,18.6,4,1,2,Home & Kitchen,UPI,Low,Mid,0
O000011,C02185,P01164,2025-01-01 02:11:02.596564,216.64,4.01,0.02,47,11,3,0.2727272727272727,1,9.3,16.5,3,1,2,Books,Debit Card,Low,Budget,0
O000012,C01288,P01363,2025-01-01 02:24:08.856221,880.8,3.72,0.2239,29,9,0,0.0,1,20.4,4.4,2,1,2,Fashion,Debit Card,Medium,Mid,0
O000013,C04025,P01616,2025-01-01 02:37:15.115877,360.98,4.46,0.2707,39,10,2,0.2,1,24.6,23.0,4,1,2,Footwear,Debit Card,Medium,Budget,0
O000014,C01433,P02176,2025-01-01 02:50:21.375534,1596.98,3.88,0.0675,26,6,2,0.3333333333333333,2,33.4,11.0,4,1,2,Books,UPI,High,Premium,1
O000015,C01846,P01521,2025-01-01 03:03:27.635190,1902.02,3.5,0.02,46,4,1,0.25,2,8.8,19.9,4,1,2,Books,UPI,Low,Premium,0
O000016,C01852,P01226,2025-01-01 03:16:33.894847,755.47,3.78,0.0443,29,8,2,0.25,1,24.6,21.4,4,1,2,Books,Credit Card,Medium,Mid,0
O000017,C01326,P01736,2025-01-01 03:29:40.154503,2966.0,4.15,0.1021,26,9,2,0.2222222222222222,1,6.1,27.9,4,1,2,Electronics,Credit Card,Low,Premium,0
O000018,C00858,P00144,2025-01-01 03:42:46.414160,6190.67,4.16,0.1081,20,11,2,0.1818181818181818,2,21.7,9.4,2,1,2,Electronics,UPI,Medium,Luxury,0
O000019,C01631,P00442,2025-01-01 03:55:52.673816,1172.28,3.58,0.2554,44,13,2,0.1538461538461538,1,5.0,20.4,3,1,2,Footwear,Wallet,Low,Mid,1
O000020,C04903,P01434,2025-01-01 04:08:58.933473,3751.21,3.39,0.0726,47,7,0,0.0,1,28.2,21.4,3,1,2,Electronics,Credit Card,High,Premium,0
O000021,C02516,P00030,2025-01-01 04:22:05.193129,1620.23,3.43,0.0653,56,11,2,0.1818181818181818,1,21.2,27.1,4,1,2,Electronics,Credit Card,Medium,Premium,0
